,Resident,Work,percent,Number
161,MN,AR,0.003539999,19856
162,AL,AR,0.017129238,83489
163,CA,AR,0.000840994,33136
164,FL,AR,0.00224857,47739
165,NE,AR,0.009030723,17363
166,DC,AR,0.002498926,1745
167,OK,AR,0.111903692,439035
168,TN,AR,0.029750308,200795
169,KS,AR,0.020551293,59368
170,IA,AR,0.014361465,45301
171,NV,AR,0.001645409,4975
172,WV,AR,0.003326572,6004
173,GA,AR,0.008160178,85324
174,NY,AR,0.000898743,17541
175,MI,AR,0.007361237,73555
176,WA,AR,0.001585378,11864
177,SC,AR,0.005791231,29205
178,AR,AR,1.349336528,4059568
179,MD,AR,0.001875197,11267
180,SD,AR,0.013313958,11700
181,OH,AR,0.005495999,64197
182,NE,CA,0.021776092,41868
183,MT,CA,0.113781991,120466
184,NM,CA,0.050887476,106038
185,IA,CA,0.01902329,60006
186,ME,CA,0.032890663,43976
187,RI,CA,0.029515206,31076
188,PA,CA,0.021048892,269441
189,DC,CA,0.050084491,34974
190,DE,CA,0.002596098,2502
191,SC,CA,0.01854126,93503
192,LA,CA,0.027350702,127018
193,TN,CA,0.019239801,129856
194,VA,CA,0.027375423,229999
195,KS,CA,0.028221334,81525
196,AK,CA,0.019448387,13964
197,IN,CA,0.021804633,145852
198,CO,CA,0.066916087,378713
199,VT,CA,0.031462603,19687
200,OR,CA,0.114011452,477499
201,CA,CA,0.145679991,5739935
202,WV,CA,0.009484941,17119
203,UT,CA,0.079490348,250893
204,MD,CA,0.020881814,125467
205,TX,CA,0.022037256,629990
206,MN,CA,0.041677535,233771
207,NJ,CA,0.0212736,189317
208,NC,CA,0.019715856,202800
209,HI,CA,0.065755287,90427
210,AZ,CA,0.053435121,382169
211,CT,CA,0.031010254,110575
212,GA,CA,0.022653951,236873
213,MS,CA,0.02172942,64602
214,AR,CA,0.026227445,78907
215,WA,CA,0.060543842,453073
216,AL,CA,0.023918438,116580
217,KY,CA,0.014632444,65139
218,SD,CA,0.044827072,39393
219,OK,CA,0.044215002,173470
220,NY,CA,0.014654206,286010
221,ND,CA,0.02046083,15405
222,MO,CA,0.024284647,148322
223,MA,CA,0.026230019,180914
