,Resident,Work,percent,Number
813,IL,KY,0.026198818,333075
814,TN,KY,0.115530225,779753
815,IA,KY,0.008625565,27208
816,AL,KY,0.02291681,111698
817,MN,KY,0.005446207,30548
818,NM,KY,0.002785811,5805
819,VA,KY,0.020202436,169734
820,MT,KY,0.004233318,4482
821,IN,KY,0.106057419,709422
822,MD,KY,0.002907247,17468
823,VT,KY,0.014325736,8964
824,KS,KY,0.005184556,14977
825,NV,KY,0.003188952,9642
826,HI,KY,0.000648631,892
827,MI,KY,0.01709242,170791
828,KY,KY,1.718428513,7649899
829,DC,KY,0.003796363,2651
830,FL,KY,0.009223146,195815
831,GA,KY,0.014053554,146946
832,MA,KY,0.002142025,14774
833,PA,KY,0.008484053,108602
834,MS,KY,0.016809843,49976
835,MO,KY,0.024064922,146980
836,AK,KY,0.007867655,5649
837,OK,KY,0.009595423,37646
838,TX,KY,0.003256948,93108
839,NJ,KY,0.004364461,38840
840,AR,KY,0.015333551,46132
841,RI,KY,0.001791276,1886
842,WI,KY,0.006386542,37109
843,MD,LA,0.006854531,41185
844,CO,LA,0.00599344,33920
845,HI,LA,0.000648631,892
846,AR,LA,0.109409267,329165
847,NH,LA,0.013340211,18078
848,LA,LA,1.012942155,4704153
849,AL,LA,0.071109038,346590
850,CA,LA,0.002704196,106548
851,IA,LA,0.008329466,26274
852,UT,LA,0.00706245,22291
853,IL,LA,0.003958828,50330
854,CT,LA,0.002928131,10441
855,OH,LA,0.003530445,41238
856,MS,LA,0.418505425,1244225
857,RI,LA,0.005409918,5696
858,IN,LA,0.006986805,46735
859,NY,LA,0.003886815,75860
860,MA,LA,0.005942401,40986
861,NC,LA,0.008033239,82631
862,AK,LA,0.00748047,5371
863,MT,LA,0.007914094,8379
864,ID,LA,0.00420639,7364
865,AZ,LA,0.005776271,41312
866,VA,LA,0.005268602,44265
867,KY,LA,0.008397274,37382
868,WI,LA,0.009200413,53459
869,MN,LA,0.001296657,7273
870,NE,LA,0.002588603,4977
871,MI,LA,0.007928679,79225
872,DC,LA,0.001507948,1053
873,MO,LA,0.020655424,126156
874,VT,LA,0.007162868,4482
875,DE,LA,0.001724506,1662
876,GA,LA,0.014505824,151675
877,WV,LA,0.006570589,11859
878,TN,LA,0.021320893,143902
879,ME,LA,0.034898088,46660
880,KS,LA,0.006243137,18035
881,NJ,LA,0.004368169,38873
882,WY,LA,0.010488111,6028
883,WA,LA,0.005365752,40154
884,OR,LA,0.001136058,4758
885,SC,LA,0.006421416,32383
886,SD,LA,0.001015047,892
887,NV,LA,0.003728381,11273
888,FL,LA,0.01763469,374399
889,PA,LA,0.005952399,76195
890,NM,LA,0.006836634,14246
891,OK,LA,0.043667253,171321
892,TX,LA,0.04989034,1426240
893,NH,ME,0.101645499,137745
894,GA,ME,0.000186015,1945
895,SC,ME,0.00286022,14424
896,AL,ME,0.001546964,7540
897,IL,ME,0.001248057,15867
898,TN,ME,0.002419051,16327
899,TX,ME,0.001088868,31128
900,KY,ME,0.000620664,2763
901,MI,ME,0.000528112,5277
902,IA,ME,0.000615025,1940
903,WY,ME,0.010446354,6004
904,MO,ME,0.000497082,3036
905,PA,ME,0.002877104,36829
906,OH,ME,0.001712229,20000
907,NC,ME,0.001990252,20472
908,MN,ME,0.000517557,2903
909,CO,ME,0.00087905,4975
910,WA,ME,0.000259241,1940
911,VA,ME,0.00222218,18670
912,UT,ME,0.003977163,12553
913,AZ,ME,0.001828155,13075
914,OR,ME,0.001717219,7192
915,CT,ME,0.011394498,40630
916,MD,ME,0.003067854,18433
917,VT,ME,0.109784299,68695
918,MT,ME,0.008348572,8839
919,IN,ME,0.00042921,2871
920,FL,ME,0.003716342,78901
921,NJ,ME,0.004479528,39864
922,MA,ME,0.024527882,169174
923,NY,ME,0.004971035,97021
924,WI,ME,0.003954737,22979
925,ME,ME,0.544645021,728210
926,RI,ME,0.029607335,31173
927,CA,ME,0.00097457,38399
928,SC,MD,0.023474069,118379
929,NC,MD,0.030229813,310948
930,AL,MD,0.006770531,33000
931,MD,MD,0.211935589,1273401
932,NH,MD,0.031477673,42657
933,LA,MD,0.00573099,26615
934,CT,MD,0.015565844,55504
935,AZ,MD,0.004231672,30265
936,DC,MD,0.054246026,37880
937,NJ,MD,0.036948914,328814
938,IL,MD,0.006236589,79288
939,MI,MD,0.008690973,86842
940,DE,MD,0.172989165,166719
941,KY,MD,0.006689829,29781
942,OK,MD,0.00169295,6642
943,PA,MD,0.082194667,1052151
944,TX,MD,0.005722816,163601
945,CA,MD,0.002665669,105030
946,CO,MD,0.00519832,29420
947,NM,MD,0.005240971,10921
948,WV,MD,0.148047966,267206
949,TN,MD,0.010320562,69657
950,VT,MD,0.029758984,18621
951,MA,MD,0.015703592,108311
952,OH,MD,0.013715383,160205
953,VA,MD,0.124123566,1042844
954,WA,MD,0.005735772,42923
955,MS,MD,0.006380717,18970
956,UT,MD,0.00831266,26237
957,HI,MD,0.010572969,14540
958,IA,MD,0.004613638,14553
959,SD,MD,0.00348894,3066
960,FL,MD,0.012787822,271496
961,AK,MD,0.005381593,3864
962,OR,MD,0.002582275,10815
963,GA,MD,0.012237397,127956
964,ME,MD,0.026490685,35419
965,IN,MD,0.010366066,69339
966,RI,MD,0.023366363,24602
967,AR,MD,0.006963783,20951
968,MN,MD,0.00833868,46772
969,NE,MD,0.001217585,2341
970,MO,MD,0.00897711,54829
971,KS,MD,0.007033092,20317
972,NV,MD,0.006378896,19287
973,ND,MD,0.009096801,6849
974,NY,MD,0.011382026,222146
975,WI,MD,0.0064707,37598
976,MT,MD,0.004233318,4482
977,TX,MA,0.004360333,124651
978,NJ,MA,0.024042066,213954
979,WA,MA,0.004937069,36946
980,OH,MA,0.008944514,104478
981,CT,MA,0.079323992,282850
982,CA,MA,0.003527019,138968
983,WI,MA,0.008712331,50623
984,KY,MA,0.008618538,38367
985,NV,MA,0.003832232,11587
986,GA,MA,0.00961186,100503
987,UT,MA,0.016812884,53066
988,VT,MA,0.371928972,232726
989,IN,MA,0.007628901,51030
990,OK,MA,0.005901366,23153
991,NC,MA,0.009795222,100755
992,SC,MA,0.009187048,46330
993,DE,MA,0.023313003,22468
994,SD,MA,0.003713115,3263
995,WY,MA,0.001832114,1053
996,KS,MA,0.004947431,14292
997,MO,MA,0.004684621,28612
998,IL,MA,0.006322955,80386
999,VA,MA,0.016044924,134804
1000,WV,MA,0.012786026,23077
1001,NE,MA,0.013288368,25549
1002,AR,MA,0.005472707,16465
1003,DC,MA,0.0252413,17626
1004,MN,MA,0.013973333,78377
1005,IA,MA,0.004260474,13439
1006,AL,MA,0.005746744,28010
1007,AZ,MA,0.002516772,18000
1008,ID,MA,0.004920402,8614
1009,HI,MA,0.005370108,7385
1010,RI,MA,0.167745453,176616
1011,LA,MA,0.007618998,35383
1012,FL,MA,0.015810267,335665
1013,MT,MA,0.017925958,18979
1014,MS,MA,0.001331306,3958
1015,NH,MA,0.21092262,285832
1016,ME,MA,0.164047939,219338
1017,MI,MA,0.007587413,75815
1018,NY,MA,0.030280525,590993
1019,MA,MA,0.079207367,546310
1020,NM,MA,0.005963219,12426
1021,MD,MA,0.016971477,101972
1022,PA,MA,0.022943708,293696
1023,CO,MA,0.011800115,66783
1024,OR,MA,0.007412789,31046
1025,TN,MA,0.007221593,48741
1026,IA,MI,0.0144962,45726
1027,IN,MI,0.068922029,461022
1028,OH,MI,0.051885592,606059
1029,AR,MI,0.00363429,10934
1030,OR,MI,0.000843806,3534
1031,AL,MI,0.011638747,56728
1032,AZ,MI,0.007263823,51951
1033,RI,MI,0.001494946,1574
1034,FL,MI,0.016127683,342404
1035,SD,MI,0.002207614,1940
1036,MI,MI,0.860072454,8594022
1037,PA,MI,0.020027544,256367
1038,AK,MI,0.023590431,16938
1039,WY,MI,0.00827496,4756
1040,CT,MI,0.010398075,37077
1041,VT,MI,0.016005383,10015
1042,NE,MI,0.010771541,20710
1043,WV,MI,0.010011297,18069
1044,OK,MI,0.011622273,45598
1045,NJ,MI,0.011297593,100539
1046,NY,MI,0.008235683,160738
1047,NM,MI,0.010419076,21711
1048,NH,MI,0.00908681,12314
1049,MD,MI,0.0068294,41034
1050,MO,MI,0.017585665,107407
1051,HI,MI,0.003376224,4643
1052,ND,MI,0.011905932,8964
1053,WA,MI,0.005810337,43481
1054,LA,MI,0.005059809,23498
1055,CA,MI,0.003335729,131431
1056,NV,MI,0.005732969,17334
1057,GA,MI,0.011122933,116303
1058,MN,MI,0.022843121,128128
1059,TX,MI,0.006058627,173201
1060,MA,MI,0.005415811,37354
1061,CO,MI,0.009568124,54151
1062,IL,MI,0.02325176,295608
1063,DC,MI,0.014180152,9902
1064,UT,MI,0.008227433,25968
1065,WI,MI,0.075578177,439147
1066,KS,MI,0.012693283,36668
1067,MS,MI,0.006209847,18462
1068,SC,MI,0.010891005,54923
1069,KY,MI,0.022612347,100663
1070,VA,MI,0.006664635,55994
1071,NC,MI,0.012295189,126470
1072,MT,MI,0.010892151,11532
1073,TN,MI,0.019974984,134818
1074,DE,MI,0.005512818,5313
1075,ME,MI,0.014503723,19392
1076,ID,MI,0.005102618,8933
1077,CA,MN,0.002257761,88958
1078,MS,MN,0.009064184,26948
1079,HI,MN,0.007059311,9708
1080,SD,MN,0.403653031,354721
1081,AR,MN,0.009598925,28879
1082,NM,MN,0.011068379,23064
1083,NH,MN,0.012818498,17371
1084,MT,MN,0.037897735,40124
1085,MO,MN,0.025066781,153099
1086,ME,MN,0.013018348,17406
1087,MI,MN,0.023734096,237156
1088,WA,MN,0.006545298,48981
1089,MA,MN,0.004310002,29727
1090,NE,MN,0.021357401,41063
1091,PA,MN,0.014224746,182087
1092,KY,MN,0.005877777,26166
1093,NY,MN,0.006844402,133584
1094,WV,MN,0.00682601,12320
1095,MN,MN,1.420956631,7970204
1096,IA,MN,0.190824463,601926
1097,WY,MN,0.002301886,1323
1098,FL,MN,0.006682077,141866
1099,LA,MN,0.002951735,13708
1100,KS,MN,0.017507093,50574
1101,IN,MN,0.01540147,103021
1102,ND,MN,0.452900909,340990
1103,AK,MN,0.00489413,3514
1104,AL,MN,0.010063265,49049
1105,CT,MN,0.00567874,20249
1106,RI,MN,0.005914249,6227
1107,IL,MN,0.014010301,178118
1108,WI,MN,0.238890285,1388072
1109,VT,MN,0.007162868,4482
1110,UT,MN,0.009275822,29277
1111,NC,MN,0.004581603,47127
1112,SC,MN,0.006445608,32505
1113,OK,MN,0.019764083,77541
1114,NV,MN,0.006524089,19726
1115,DC,MN,0.002554776,1784
1116,MD,MN,0.005315528,31938
1117,DE,MN,0.009891528,9533
1118,ID,MN,0.000828826,1451
1119,VA,MN,0.004067172,34171
1120,TN,MN,0.009385952,63349
1121,AZ,MN,0.012924602,92437
1122,GA,MN,0.00923457,96558
1123,OH,MN,0.010493653,122573
1124,OR,MN,0.004278005,17917
1125,CO,MN,0.012491163,70694
1126,TX,MN,0.006692541,191323
1127,NJ,MN,0.004653477,41412
1128,VT,MS,0.010263262,6422
1129,PA,MS,0.002900149,37124
1130,ID,MS,0.001751329,3066
1131,SD,MS,0.004415227,3880
1132,NH,MS,0.000878869,1191
1133,CO,MS,0.002248777,12727
1134,NV,MS,0.003645367,11022
1135,NJ,MS,0.000736025,6550
1136,WY,MS,0.002521114,1449
1137,AZ,MS,0.003337939,23873
1138,KY,MS,0.006570773,29251
1139,KS,MS,0.008909668,25738
1140,IN,MS,0.002364765,15818
1141,NC,MS,0.004282171,44047
1142,DE,MS,0.006780776,6535
1143,NM,MS,0.003325697,6930
1144,CA,MS,0.001340246,52807
1145,AL,MS,0.137295694,669188
1146,AK,MS,0.010144804,7284
1147,WA,MS,0.001717271,12851
1148,ME,MS,0.001243048,1662
1149,OK,MS,0.015812847,62039
1150,MT,MS,0.00537996,5696
1151,FL,MS,0.007346771,155978
1152,OH,MS,0.003730605,43576
1153,RI,MS,0.001000113,1053
1154,MO,MS,0.00971471,59334
1155,TX,MS,0.004817351,137716
1156,NE,MS,0.004066764,7819
1157,WI,MS,0.005558041,32295
1158,IA,MS,0.003722169,11741
1159,AR,MS,0.061193605,184105
1160,ND,MS,0.004072243,3066
1161,GA,MS,0.010571487,110537
1162,MD,MS,0.001310325,7873
1163,LA,MS,0.126181485,585993
1164,TN,MS,0.051624292,348430
1165,VA,MS,0.003447771,28967
1166,MN,MS,0.000917982,5149
1167,SC,MS,0.005130113,25871
1168,WV,MS,0.001558569,2813
1169,UT,MS,0.004594347,14501
1170,NY,MS,0.001203037,23480
1171,IL,MS,0.003099338,39403
1172,MI,MS,0.006151994,61472
1173,MA,MS,0.00125848,8680
1174,MS,MS,1.625840728,4833657
1175,CO,MO,0.015356247,86909
1176,WA,MO,0.005768511,43168
1177,DC,MO,0.021784333,15212
1178,SD,MO,0.019009373,16705
1179,MN,MO,0.021678037,121593
1180,WY,MO,0.00895178,5145
1181,RI,MO,0.002517853,2651
1182,FL,MO,0.010431719,221474
1183,OK,MO,0.071354964,279949
1184,OR,MO,0.005612002,23504
1185,HI,MO,0.003576194,4918
1186,AR,MO,0.105883999,318559
1187,GA,MO,0.010255022,107228
1188,CT,MO,0.012084113,43089
1189,TX,MO,0.009679231,276705
1190,VT,MO,0.007890022,4937
1191,OH,MO,0.010477815,122388
1192,WV,MO,0.006251451,11283
1193,MS,MO,0.015881158,47215
1194,ND,MO,0.007546799,5682
1195,MD,MO,0.01205106,72408
1196,MT,MO,0.009032401,9563
1197,NJ,MO,0.005463891,48624
1198,WI,MO,0.016436107,95502
1199,ID,MO,0.002729812,4779
1200,NH,MO,0.014601325,19787
1201,AZ,MO,0.007828838,55992
1202,IL,MO,0.074379629,945615
1203,LA,MO,0.008082602,37536
1204,KS,MO,0.222487271,642715
1205,MI,MO,0.015663206,156510
1206,MO,MO,1.231864655,7523792
1207,CA,MO,0.004466335,175978
1208,NE,MO,0.072588535,139563
1209,UT,MO,0.005160839,16289
1210,NY,MO,0.004659721,90945
1211,PA,MO,0.010952664,140202
1212,NC,MO,0.007689378,79094
1213,IA,MO,0.098904241,311978
1214,DE,MO,0.005544983,5344
1215,KY,MO,0.025221697,112279
1216,NM,MO,0.012266685,25561
1217,MA,MO,0.002471288,17045
1218,TN,MO,0.020504517,138392
1219,AL,MO,0.008266818,40293
1220,IN,MO,0.021153269,141495
1221,ME,MO,0.01311483,17535
1222,VA,MO,0.005770169,48479
1223,NV,MO,0.010313656,31184
1224,SC,MO,0.006522348,32892
1225,WV,MT,0.001698746,3066
1226,AL,MT,0.00210502,10260
1227,OR,MT,0.010878506,45561
1228,PA,MT,0.001947,24923
1229,AK,MT,2.79E-06,2
1230,VA,MT,0.000533466,4482
1231,IL,MT,0.001858439,23627
1232,KS,MT,0.002707725,7822
1233,CO,MT,0.005906684,33429
1234,SD,MT,0.057618713,50634
1235,NE,MT,0.003214819,6181
1236,ND,MT,0.12120701,91257
1237,AZ,MT,0.003857093,27586
1238,TN,MT,0.002253849,15212
1239,ME,MT,0.002293132,3066
1240,MS,MT,0.003058843,9094
1241,CT,MT,0.000489377,1745
1242,LA,MT,0.004583285,21285
1243,GA,MT,0.001204268,12592
1244,MI,MT,0.002830005,28278
1245,OH,MT,0.001176986,13748
1246,IA,MT,0.005194107,16384
1247,WI,MT,0.00349574,20312
1248,WY,MT,0.142610823,81965
1249,MN,MT,0.009134717,51237
1250,RI,MT,0.002883517,3036
1251,NH,MT,0.002240341,3036
1252,SC,MT,0.001129493,5696
1253,CA,MT,0.001228396,48400
1254,MT,MT,1.843777155,1952088
1255,NV,MT,0.006943131,20993
1256,UT,MT,0.016625004,52473
1257,NC,MT,0.002273545,23386
1258,NJ,MT,0.000848508,7551
1259,TX,MT,0.001198251,34255
1260,MD,MT,0.000828003,4975
1261,MO,MT,0.005991507,36594
1262,ID,MT,0.094151953,164829
1263,MA,MT,0.002112738,14572
1264,NY,MT,0.000589068,11497
1265,AR,MT,0.003923796,11805
1266,NM,MT,0.008122282,16925
1267,KY,MT,0.001652858,7358
1268,WA,MT,0.012559554,93988
1269,OK,MT,0.005179785,20322
1270,DE,NE,0.001235793,1191
1271,LA,NE,0.004532467,21049
1272,RI,NE,0.011334614,11934
1273,WV,NE,0.006083017,10979
1274,OK,NE,0.023753807,93194
1275,AK,NE,0.007924758,5690
1276,MA,NE,0.00146523,10106
1277,NH,NE,0.005147028,6975
1278,VA,NE,0.002199089,18476
1279,NJ,NE,0.002629464,23400
1280,CT,NE,0.001395216,4975
1281,MI,NE,0.004999696,49958
1282,MO,NE,0.039742159,242731
1283,NC,NE,0.003773525,38815
1284,PA,NE,0.002798749,35826
1285,CO,NE,0.033467497,189410
1286,ND,NE,0.019249517,14493
1287,MT,NE,0.01667353,17653
1288,UT,NE,0.009065448,28613
1289,SC,NE,0.004475142,22568
1290,TN,NE,0.010835427,73132
1291,ME,NE,0.008456018,11306
1292,CA,NE,0.001509708,59484
1293,GA,NE,0.003464087,36221
1294,WY,NE,0.114393141,65747
1295,SD,NE,0.227901959,200275
1296,IN,NE,0.003354892,22441
1297,MS,NE,0.004213897,12528
1298,NM,NE,0.010192084,21238
1299,FL,NE,0.003931218,83463
1300,OH,NE,0.00593587,69335
1301,WI,NE,0.011573359,67247
1302,WA,NE,0.004075026,30495
1303,MD,NE,0.001058179,6358
1304,DC,NE,0.007652871,5344
1305,NV,NE,0.009501701,28729
1306,TX,NE,0.005138085,146885
1307,KS,NE,0.117777381,340232
1308,IA,NE,0.14971227,472244
1309,MN,NE,0.023985027,134533
1310,AZ,NE,0.007503056,53662
1311,IL,NE,0.014060799,178760
1312,AL,NE,0.004666537,22745
1313,KY,NE,0.001389138,6184
1314,AR,NE,0.014319114,43080
1315,ID,NE,0.016261203,28468
1316,NY,NE,0.002153068,42022
1317,NE,NE,2.270451495,4365304
1318,OR,NE,0.005842174,24468
1319,HI,NV,0.0054261,7462
1320,PA,NV,0.003087014,39516
1321,TX,NV,0.002409725,68888
1322,CO,NV,0.011762303,66569
1323,NV,NV,0.164591853,497654
1324,DE,NV,0.001372757,1323
1325,OK,NV,0.003624983,14222
1326,WY,NV,0.022663925,13026
1327,WI,NV,0.004216849,24502
1328,MT,NV,0.031718716,33582
1329,NC,NV,0.003400791,34981
1330,LA,NV,0.005621818,26108
1331,UT,NV,0.037592475,118652
1332,VA,NV,0.003799725,31924
1333,CA,NV,0.009852317,388191
1334,NH,NV,0.003128065,4239
1335,MD,NV,0.003027245,18189
1336,IL,NV,0.001561192,19848
1337,AZ,NV,0.010663982,76269
1338,MA,NV,0.002636138,18182
1339,NY,NV,0.002408124,47000
1340,NE,NV,0.005834628,11218
1341,AK,NV,0.013353705,9588
1342,MI,NV,0.004461177,44577
1343,CT,NV,0.002672925,9531
1344,MO,NV,0.003323212,20297
1345,ID,NV,0.08033153,140634
1346,WA,NV,0.010187499,76237
1347,WV,NV,0.000583424,1053
1348,AL,NV,0.002406,11727
1349,MN,NV,0.006019389,33763
1350,IN,NV,0.000553742,3704
1351,SC,NV,0.001769791,8925
1352,AR,NV,0.002761448,8308
1353,KS,NV,0.004029394,11640
1354,NJ,NV,0.002769477,24646
1355,GA,NV,0.00382378,39982
1356,KY,NV,0.001257951,5600
1357,FL,NV,0.00281421,59748
1358,NM,NV,0.014824064,30890
1359,SD,NV,0.006832223,6004
1360,RI,NV,0.000847199,892
1361,MS,NV,0.002584914,7685
1362,OH,NV,0.002503964,29248
1363,TN,NV,0.003773849,25471
1364,IA,NV,0.004346387,13710
1365,ND,NV,0.012697536,9560
1366,OR,NV,0.015789724,66130
1367,HI,NH,0.00325915,4482
1368,WI,NH,0.000513725,2985
1369,OK,NH,0.000337214,1323
1370,NV,NH,0.001175103,3553
1371,WV,NH,0.002619592,4728
1372,NM,NH,0.001799619,3750
1373,RI,NH,0.021937902,23098
1374,OR,NH,0.000251423,1053
1375,TX,NH,0.000470206,13442
1376,NJ,NH,0.002339661,20821
1377,TN,NH,0.000889568,6004
1378,CT,NH,0.017953276,64017
1379,PA,NH,0.003651982,46748
1380,VT,NH,0.292269632,182881
1381,ID,NH,0.001751329,3066
1382,WA,NH,0.00138293,10349
1383,MS,NH,0.000559028,1662
1384,MI,NH,0.001036908,10361
1385,AL,NH,0.001168635,5696
1386,SC,NH,0.001654977,8346
1387,NH,NH,0.200154817,271240
1388,CA,NH,0.000160427,6321
1389,CO,NH,0.000536441,3036
1390,VA,NH,0.001781196,14965
1391,UT,NH,0.003269365,10319
1392,MO,NH,0.002756709,16837
1393,NC,NH,0.001796398,18478
1394,DC,NH,0.008673922,6057
1395,MD,NH,0.000459854,2763
1396,IL,NH,0.001305634,16599
1397,MN,NH,0.00181457,10178
1398,AK,NH,0.001466568,1053
1399,AZ,NH,0.001341859,9597
1400,OH,NH,0.001275953,14904
1401,MA,NH,0.032361917,223207
1402,NY,NH,0.005009924,97780
1403,ME,NH,0.160873754,215094
1404,GA,NH,0.001085295,11348
1405,FL,NH,0.004254051,90317
1406,DE,NJ,0.127492078,122871
1407,ME,NJ,0.050163197,67070
1408,VT,NJ,0.133684498,83650
1409,NV,NJ,0.001645409,4975
1410,ID,NJ,0.005866325,10270
1411,IA,NJ,0.004448786,14033
1412,NC,NJ,0.020626986,212172
1413,OK,NJ,0.009035694,35450
1414,WY,NJ,0.015570356,8949
1415,WI,NJ,0.018386714,106836
1416,WV,NJ,0.019726173,35603
1417,SD,NJ,0.006786705,5964
1418,NM,NJ,0.003422156,7131
1419,LA,NJ,0.009721474,45147
1420,MI,NJ,0.013890125,138793
1421,IL,NJ,0.009700504,123326
1422,CO,NJ,0.014679864,83081
1423,OR,NJ,0.007372199,30876
1424,VA,NJ,0.027743922,233095
1425,NY,NJ,0.057047238,1113406
1426,MA,NJ,0.033085977,228201
1427,AR,NJ,0.002950908,8878
1428,CT,NJ,0.058864656,209897
1429,NH,NJ,0.078352892,106180
1430,MT,NJ,0.015713903,16637
1431,UT,NJ,0.00856454,27032
1432,MO,NJ,0.014240677,86977
1433,AZ,NJ,0.011426284,81721
1434,FL,NJ,0.019286439,409467
1435,KY,NJ,0.007992034,35578
1436,CA,NJ,0.005040077,198584
1437,WA,NJ,0.007551661,56512
1438,PA,NJ,0.106234641,1359880
1439,TN,NJ,0.011704548,78998
1440,TX,NJ,0.006272147,179305
1441,GA,NJ,0.01164607,121773
1442,MS,NJ,0.008716053,25913
1443,OH,NJ,0.017094981,199681
1444,IN,NJ,0.01088946,72840
1445,NE,NJ,0.015471802,29747
1446,SC,NJ,0.028496705,143708
1447,MN,NJ,0.013517819,75822
1448,MD,NJ,0.047321815,284330
1449,HI,NJ,0.001927713,2651
1450,AK,NJ,0.014125289,10142
1451,KS,NJ,0.007190252,20771
1452,AL,NJ,0.015880382,77402
1453,NJ,NJ,0.142550773,1268581
1454,DC,NJ,0.033277961,23238
1455,RI,NJ,0.047213313,49710
1456,MO,NM,0.002895551,17685
1457,NV,NM,0.005546765,16771
1458,AZ,NM,0.024124377,172538
1459,IL,NM,0.001783871,22679
1460,GA,NM,0.002233806,23357
1461,PA,NM,0.001289068,16501
1462,NH,NM,0.004502819,6102
1463,TX,NM,0.021632883,618430
1464,OH,NM,0.000993778,11608
1465,WA,NM,0.005080854,38022
1466,AL,NM,0.001618157,7887
1467,NE,NM,0.009299101,17879
1468,MA,NM,0.000426114,2939
1469,KS,NM,0.00379123,10952
1470,CO,NM,0.037088121,209901
1471,MN,NM,0.00364376,20438
1472,MT,NM,0.014289573,15129
1473,MD,NM,0.000999262,6004
1474,KY,NM,0.005090659,22662
1475,TN,NM,0.001993972,13458
1476,OR,NM,0.003086553,12927
1477,ID,NM,0.008156877,14280
1478,IA,NM,0.001958886,6179
1479,MI,NM,0.001672603,16713
1480,NY,NM,0.000290205,5664
1481,LA,NM,0.007260259,33717
1482,FL,NM,0.001488449,31601
1483,MS,NM,0.004702626,13981
1484,WY,NM,0.023116298,13286
1485,UT,NM,0.014015594,44237
1486,CA,NM,0.002561433,100923
1487,SC,NM,0.003477317,17536
1488,NJ,NM,0.001361703,12118
1489,AR,NM,0.000941312,2832
1490,VA,NM,0.00127213,10688
1491,VT,NM,0.00788363,4933
1492,IN,NM,0.000404094,2703
1493,NC,NM,0.002826717,29076
1494,NM,NM,0.529575664,1103516
1495,ND,NM,2.66E-06,2
1496,OK,NM,0.019741398,77452
1497,WI,NM,0.003619998,21034
1498,WY,NY,0.027871442,16019
1499,WV,NY,0.01404097,25342
1500,OR,NY,0.010271558,43019
1501,TX,NY,0.009549979,273010
1502,IN,NY,0.01782708,119246
1503,KY,NY,0.009775629,43518
1504,VA,NY,0.039686324,333431
1505,DE,NY,0.075960255,73207
1506,MT,NY,0.029087296,30796
1507,OK,NY,0.012909955,50650
1508,TN,NY,0.02399745,161967
1509,RI,NY,0.117101553,123294
1510,MI,NY,0.027398752,273774
1511,MO,NY,0.013486377,82370
1512,LA,NY,0.015630111,72587
1513,MA,NY,0.077572793,535036
1514,FL,NY,0.03638945,772578
1515,ME,NY,0.135116781,180656
1516,NJ,NY,0.118636023,1055760
1517,NC,NY,0.028402499,292152
1518,MS,NY,0.015018062,44649
1519,KS,NY,0.006148633,17762
1520,UT,NY,0.021288736,67193
1521,HI,NY,0.015446424,21242
1522,GA,NY,0.018681933,195341
1523,SC,NY,0.034779115,175390
1524,IA,NY,0.012887624,40652
1525,WA,NY,0.012731802,95277
1526,NY,NY,0.333985132,6518476
1527,MN,NY,0.022875925,128312
1528,VT,NY,0.482373303,301834
1529,AK,NY,2.79E-06,2
1530,PA,NY,0.126141879,1614707
1531,CO,NY,0.018712361,105903
1532,CA,NY,0.009743741,383913
1533,SD,NY,0.009039836,7944
1534,OH,NY,0.028688912,335106
1535,NH,NY,0.146108441,197999
1536,AL,NY,0.012453468,60699
1537,IL,NY,0.014107915,179359
1538,DC,NY,0.019146499,13370
1539,NE,NY,0.016617091,31949
1540,AZ,NY,0.010477181,74933
1541,ID,NY,0.012973319,22712
1542,NM,NY,0.014219872,29631
1543,WI,NY,0.021094226,122568
1544,NV,NY,0.015389785,46532
1545,MD,NY,0.042125286,253107
1546,AR,NY,0.010179601,30626
1547,CT,NY,0.120895541,431084
1548,OR,NC,0.003434438,14384
1549,NC,NC,0.787809068,8103512
1550,VA,NC,0.140057798,1176718
1551,SC,NC,0.225859013,1139000
1552,NJ,NC,0.010790242,96024
1553,MA,NC,0.006348362,43786
1554,UT,NC,0.003293444,10395
1555,IL,NC,0.011454486,145625
1556,MS,NC,0.011365547,33790
1557,NM,NC,0.00222337,4633
1558,WV,NC,0.049336763,89046
1559,TN,NC,0.0647755,437192
1560,HI,NC,0.014146982,19455
1561,CA,NC,0.003512247,138386
1562,IN,NC,0.010513023,70322
1563,NV,NC,0.013708656,41449
1564,MD,NC,0.028335503,170252
1565,RI,NC,0.016593518,17471
1566,MI,NC,0.013528443,135179
1567,AL,NC,0.025815008,125824
1568,FL,NC,0.02211737,469570
1569,SD,NC,4.55E-06,4
1570,ND,NC,0.011783738,8872
1571,ME,NC,0.018081039,24175
1572,NH,NC,0.01648451,22339
1573,AR,NC,0.005801767,17455
1574,MO,NC,0.009487618,57947
1575,PA,NC,0.020754456,265672
1576,DC,NC,0.027333524,19087
1577,TX,NC,0.007660586,218997
1578,LA,NC,0.011100443,51551
1579,NE,NC,0.012692318,24403
1580,KY,NC,0.024652923,109747
1581,CO,NC,0.01588827,89920
1582,AZ,NC,0.003083325,22052
1583,OK,NC,0.012393811,48625
1584,GA,NC,0.056161999,587238
1585,DE,NC,0.020460615,19719
1586,MT,NC,0.008119054,8596
1587,MN,NC,0.011405693,63975
1588,IA,NC,0.007531835,23758
1589,WA,NC,0.002754234,20611
1590,NY,NC,0.009648637,188315
1591,OH,NC,0.013321057,155599
1592,WI,NC,0.012651063,73509
1593,KS,NC,0.003994777,11540
