REGION,SEX,agebins,POPEST2018_CIV
North Dakota,2,71+,41544
North Dakota,2,Total,369542
Ohio,0,10-Jan,1549159
Ohio,0,20-Nov,1505042
Ohio,0,21-30,1562070
Ohio,0,31-40,1443893
Ohio,0,41-50,1404828
Ohio,0,51-60,1597638
Ohio,0,61-70,1397602
Ohio,0,71+,1220448
Ohio,0,Total,11680680
Ohio,1,10-Jan,792589
Ohio,1,20-Nov,769284
Ohio,1,21-30,790179
Ohio,1,31-40,719860
Ohio,1,41-50,695391
Ohio,1,51-60,780009
Ohio,1,61-70,664926
Ohio,1,71+,511608
Ohio,1,Total,5723846
Ohio,2,10-Jan,756570
Ohio,2,20-Nov,735758
Ohio,2,21-30,771891
Ohio,2,31-40,724033
Ohio,2,41-50,709437
Ohio,2,51-60,817629
Ohio,2,61-70,732676
Ohio,2,71+,708840
Ohio,2,Total,5956834
Oklahoma,0,10-Jan,582910
Oklahoma,0,20-Nov,530476
Oklahoma,0,21-30,542414
Oklahoma,0,31-40,513826
Oklahoma,0,41-50,456439
Oklahoma,0,51-60,488823
Oklahoma,0,61-70,424829
Oklahoma,0,71+,383612
Oklahoma,0,Total,3923329
Oklahoma,1,10-Jan,298142
Oklahoma,1,20-Nov,271360
Oklahoma,1,21-30,275268
Oklahoma,1,31-40,257543
Oklahoma,1,41-50,227854
Oklahoma,1,51-60,239313
Oklahoma,1,61-70,201556
Oklahoma,1,71+,165453
Oklahoma,1,Total,1936489
Oklahoma,2,10-Jan,284768
Oklahoma,2,20-Nov,259116
Oklahoma,2,21-30,267146
Oklahoma,2,31-40,256283
Oklahoma,2,41-50,228585
Oklahoma,2,51-60,249510
Oklahoma,2,61-70,223273
Oklahoma,2,71+,218159
Oklahoma,2,Total,1986840
Oregon,0,10-Jan,527499
Oregon,0,20-Nov,495212
Oregon,0,21-30,576180
Oregon,0,31-40,583770
Oregon,0,41-50,523019
Oregon,0,51-60,524013
Oregon,0,61-70,519168
Oregon,0,71+,439306
Oregon,0,Total,4188167
Oregon,1,10-Jan,270119
Oregon,1,20-Nov,253808
Oregon,1,21-30,293436
Oregon,1,31-40,294253
Oregon,1,41-50,264133
Oregon,1,51-60,256361
Oregon,1,61-70,247293
Oregon,1,71+,195914
Oregon,1,Total,2075317
Oregon,2,10-Jan,257380
Oregon,2,20-Nov,241404
Oregon,2,21-30,282744
Oregon,2,31-40,289517
Oregon,2,41-50,258886
Oregon,2,51-60,267652
Oregon,2,61-70,271875
Oregon,2,71+,243392
Oregon,2,Total,2112850
Pennsylvania,0,10-Jan,1578780
Pennsylvania,0,20-Nov,1582495
Pennsylvania,0,21-30,1688674
Pennsylvania,0,31-40,1585352
Pennsylvania,0,41-50,1526912
Pennsylvania,0,51-60,1801886
Pennsylvania,0,61-70,1574688
Pennsylvania,0,71+,1461934
Pennsylvania,0,Total,12800721
Pennsylvania,1,10-Jan,807668
Pennsylvania,1,20-Nov,806697
Pennsylvania,1,21-30,860748
Pennsylvania,1,31-40,796714
Pennsylvania,1,41-50,757117
Pennsylvania,1,51-60,879727
Pennsylvania,1,61-70,751869
Pennsylvania,1,71+,608767
Pennsylvania,1,Total,6269307
Pennsylvania,2,10-Jan,771112
Pennsylvania,2,20-Nov,775798
Pennsylvania,2,21-30,827926
Pennsylvania,2,31-40,788638
Pennsylvania,2,41-50,769795
Pennsylvania,2,51-60,922159
Pennsylvania,2,61-70,822819
Pennsylvania,2,71+,853167
Pennsylvania,2,Total,6531414
Rhode Island,0,10-Jan,120706
Rhode Island,0,20-Nov,135372
Rhode Island,0,21-30,149289
Rhode Island,0,31-40,130715
Rhode Island,0,41-50,126058
Rhode Island,0,51-60,151457
Rhode Island,0,61-70,125213
Rhode Island,0,71+,114071
Rhode Island,0,Total,1052881
Rhode Island,1,10-Jan,61837
Rhode Island,1,20-Nov,67748
Rhode Island,1,21-30,75724
Rhode Island,1,31-40,65123
Rhode Island,1,41-50,61274
Rhode Island,1,51-60,72723
Rhode Island,1,61-70,59377
Rhode Island,1,71+,46794
Rhode Island,1,Total,510600
Rhode Island,2,10-Jan,58869
Rhode Island,2,20-Nov,67624
Rhode Island,2,21-30,73565
Rhode Island,2,31-40,65592
Rhode Island,2,41-50,64784
Rhode Island,2,51-60,78734
Rhode Island,2,61-70,65836
Rhode Island,2,71+,67277
Rhode Island,2,Total,542281
South Carolina,0,10-Jan,663289
South Carolina,0,20-Nov,634016
South Carolina,0,21-30,666970
South Carolina,0,31-40,621494
South Carolina,0,41-50,615168
South Carolina,0,51-60,676136
South Carolina,0,61-70,626326
South Carolina,0,71+,539570
South Carolina,0,Total,5042969
South Carolina,1,10-Jan,337090
South Carolina,1,20-Nov,320720
South Carolina,1,21-30,328973
South Carolina,1,31-40,301113
South Carolina,1,41-50,297384
South Carolina,1,51-60,321276
South Carolina,1,61-70,288711
South Carolina,1,71+,234400
South Carolina,1,Total,2429667
South Carolina,2,10-Jan,326199
South Carolina,2,20-Nov,313296
South Carolina,2,21-30,337997
South Carolina,2,31-40,320381
South Carolina,2,41-50,317784
South Carolina,2,51-60,354860
South Carolina,2,61-70,337615
South Carolina,2,71+,305170
South Carolina,2,Total,2613302
South Dakota,0,10-Jan,135302
South Dakota,0,20-Nov,117889
South Dakota,0,21-30,115926
South Dakota,0,31-40,110944
South Dakota,0,41-50,94064
South Dakota,0,51-60,111725
South Dakota,0,61-70,104715
South Dakota,0,71+,88212
South Dakota,0,Total,878777
South Dakota,1,10-Jan,69401
South Dakota,1,20-Nov,60679
South Dakota,1,21-30,60127
South Dakota,1,31-40,57460
South Dakota,1,41-50,48172
South Dakota,1,51-60,55760
South Dakota,1,61-70,52390
South Dakota,1,71+,38641
South Dakota,1,Total,442630
South Dakota,2,10-Jan,65901
South Dakota,2,20-Nov,57210
South Dakota,2,21-30,55799
South Dakota,2,31-40,53484
South Dakota,2,41-50,45892
South Dakota,2,51-60,55965
South Dakota,2,61-70,52325
South Dakota,2,71+,49571
South Dakota,2,Total,436147
Tennessee,0,10-Jan,905909
Tennessee,0,20-Nov,850844
Tennessee,0,21-30,933617
Tennessee,0,31-40,857943
Tennessee,0,41-50,849386
Tennessee,0,51-60,901174
Tennessee,0,61-70,777252
Tennessee,0,71+,673217
Tennessee,0,Total,6749342
Tennessee,1,10-Jan,462176
Tennessee,1,20-Nov,433654
Tennessee,1,21-30,464282
Tennessee,1,31-40,421610
Tennessee,1,41-50,416941
Tennessee,1,51-60,434787
Tennessee,1,61-70,364259
Tennessee,1,71+,287314
Tennessee,1,Total,3285023
Tennessee,2,10-Jan,443733
Tennessee,2,20-Nov,417190
Tennessee,2,21-30,469335
Tennessee,2,31-40,436333
Tennessee,2,41-50,432445
Tennessee,2,51-60,466387
Tennessee,2,61-70,412993
Tennessee,2,71+,385903
Tennessee,2,Total,3464319
Texas,0,10-Jan,4493744
Texas,0,20-Nov,4071946
Texas,0,21-30,4130677
Texas,0,31-40,4038337
Texas,0,41-50,3652137
Texas,0,51-60,3400088
Texas,0,61-70,2645436
Texas,0,71+,2155133
Texas,0,Total,28587498
Texas,1,10-Jan,2292688
Texas,1,20-Nov,2076899
Texas,1,21-30,2101431
Texas,1,31-40,2029564
Texas,1,41-50,1813083
Texas,1,51-60,1671905
Texas,1,61-70,1252805
Texas,1,71+,930128
Texas,1,Total,14168503
Texas,2,10-Jan,2201056
Texas,2,20-Nov,1995047
Texas,2,21-30,2029246
Texas,2,31-40,2008773
Texas,2,41-50,1839054
Texas,2,51-60,1728183
Texas,2,61-70,1392631
Texas,2,71+,1225005
Texas,2,Total,14418995
Utah,0,10-Jan,566052
Utah,0,20-Nov,508109
Utah,0,21-30,503450
Utah,0,31-40,447854
Utah,0,41-50,361138
Utah,0,51-60,304489
Utah,0,61-70,255663
Utah,0,71+,209515
Utah,0,Total,3156270
Utah,1,10-Jan,290233
Utah,1,20-Nov,257973
Utah,1,21-30,260178
Utah,1,31-40,226150
Utah,1,41-50,183372
Utah,1,51-60,150979
Utah,1,61-70,124133
Utah,1,71+,95029
Utah,1,Total,1588047
Utah,2,10-Jan,275819
Utah,2,20-Nov,250136
Utah,2,21-30,243272
Utah,2,31-40,221704
Utah,2,41-50,177766
Utah,2,51-60,153510
Utah,2,61-70,131530
Utah,2,71+,114486
Utah,2,Total,1568223
Vermont,0,10-Jan,67591
Vermont,0,20-Nov,80247
Vermont,0,21-30,80066
Vermont,0,31-40,72590
Vermont,0,41-50,73188
Vermont,0,51-60,92926
Vermont,0,61-70,86706
Vermont,0,71+,72413
Vermont,0,Total,625727
Vermont,1,10-Jan,34876
Vermont,1,20-Nov,41134
Vermont,1,21-30,41230
Vermont,1,31-40,36003
Vermont,1,41-50,36107
Vermont,1,51-60,45267
Vermont,1,61-70,42173
Vermont,1,71+,31974
Vermont,1,Total,308764
Vermont,2,10-Jan,32715
Vermont,2,20-Nov,39113
Vermont,2,21-30,38836
Vermont,2,31-40,36587
Vermont,2,41-50,37081
Vermont,2,51-60,47659
Vermont,2,61-70,44533
Vermont,2,71+,40439
Vermont,2,Total,316963
Virginia,0,10-Jan,1131373
Virginia,0,20-Nov,1068890
Virginia,0,21-30,1134573
Virginia,0,31-40,1118245
Virginia,0,41-50,1070140
Virginia,0,51-60,1150551
Virginia,0,61-70,926839
Virginia,0,71+,801049
Virginia,0,Total,8401660
Virginia,1,10-Jan,579090
Virginia,1,20-Nov,542717
Virginia,1,21-30,569134
Virginia,1,31-40,548415
Virginia,1,41-50,522820
Virginia,1,51-60,558474
Virginia,1,61-70,436364
Virginia,1,71+,342676
Virginia,1,Total,4099690
Virginia,2,10-Jan,552283
Virginia,2,20-Nov,526173
Virginia,2,21-30,565439
Virginia,2,31-40,569830
Virginia,2,41-50,547320
Virginia,2,51-60,592077
Virginia,2,61-70,490475
Virginia,2,71+,458373
Virginia,2,Total,4301970
Washington,0,10-Jan,1024525
Washington,0,20-Nov,899694
Washington,0,21-30,1066699
Washington,0,31-40,1068667
Washington,0,41-50,930909
Washington,0,51-60,956149
Washington,0,61-70,846842
Washington,0,71+,689902
Washington,0,Total,7483387
Washington,1,10-Jan,524646
Washington,1,20-Nov,460468
Washington,1,21-30,546450
Washington,1,31-40,541329
Washington,1,41-50,468831
Washington,1,51-60,473005
Washington,1,61-70,405822
Washington,1,71+,305636
Washington,1,Total,3726187
Washington,2,10-Jan,499879
Washington,2,20-Nov,439226
Washington,2,21-30,520249
Washington,2,31-40,527338
Washington,2,41-50,462078
Washington,2,51-60,483144
Washington,2,61-70,441020
Washington,2,71+,384266
Washington,2,Total,3757200
West Virginia,0,10-Jan,217268
West Virginia,0,20-Nov,212772
West Virginia,0,21-30,224864
West Virginia,0,31-40,211750
West Virginia,0,41-50,224460
West Virginia,0,51-60,250117
West Virginia,0,61-70,245910
West Virginia,0,71+,217720
West Virginia,0,Total,1804861
West Virginia,1,10-Jan,111238
West Virginia,1,20-Nov,109831
West Virginia,1,21-30,115653
West Virginia,1,31-40,107162
West Virginia,1,41-50,112687
West Virginia,1,51-60,122934
West Virginia,1,61-70,118612
West Virginia,1,71+,95356
West Virginia,1,Total,893473
West Virginia,2,10-Jan,106030
West Virginia,2,20-Nov,102941
West Virginia,2,21-30,109211
West Virginia,2,31-40,104588
West Virginia,2,41-50,111773
West Virginia,2,51-60,127183
West Virginia,2,61-70,127298
West Virginia,2,71+,122364
West Virginia,2,Total,911388
Wisconsin,0,10-Jan,757606
Wisconsin,0,20-Nov,753482
Wisconsin,0,21-30,760194
Wisconsin,0,31-40,732282
Wisconsin,0,41-50,687421
Wisconsin,0,51-60,822232
Wisconsin,0,61-70,698965
Wisconsin,0,71+,598318
Wisconsin,0,Total,5810500
Wisconsin,1,10-Jan,387526
Wisconsin,1,20-Nov,384300
Wisconsin,1,21-30,389883
Wisconsin,1,31-40,370643
Wisconsin,1,41-50,346447
Wisconsin,1,51-60,407744
Wisconsin,1,61-70,342927
Wisconsin,1,71+,260255
Wisconsin,1,Total,2889725
Wisconsin,2,10-Jan,370080
Wisconsin,2,20-Nov,369182
Wisconsin,2,21-30,370311
Wisconsin,2,31-40,361639
Wisconsin,2,41-50,340974
Wisconsin,2,51-60,414488
Wisconsin,2,61-70,356038
Wisconsin,2,71+,338063
Wisconsin,2,Total,2920775
Wyoming,0,10-Jan,81801
Wyoming,0,20-Nov,74584
Wyoming,0,21-30,75089
Wyoming,0,31-40,76983
Wyoming,0,41-50,64934
Wyoming,0,51-60,73656
Wyoming,0,61-70,71864
Wyoming,0,71+,55835
Wyoming,0,Total,574746
Wyoming,1,10-Jan,42102
Wyoming,1,20-Nov,38663
Wyoming,1,21-30,38876
Wyoming,1,31-40,39738
Wyoming,1,41-50,33524
Wyoming,1,51-60,37125
Wyoming,1,61-70,36254
Wyoming,1,71+,25775
Wyoming,1,Total,292057
Wyoming,2,10-Jan,39699
Wyoming,2,20-Nov,35921
Wyoming,2,21-30,36213
Wyoming,2,31-40,37245
Wyoming,2,41-50,31410
Wyoming,2,51-60,36531
Wyoming,2,61-70,35610
Wyoming,2,71+,30060
Wyoming,2,Total,282689
