REGION,SEX,agebins,POPEST2018_CIV
Delaware,0,41-50,111599
Delaware,0,51-60,134822
Delaware,0,61-70,123874
Delaware,0,71+,110149
Delaware,0,Total,963754
Delaware,1,10-Jan,61983
Delaware,1,20-Nov,59598
Delaware,1,21-30,62415
Delaware,1,31-40,58099
Delaware,1,41-50,53656
Delaware,1,51-60,63880
Delaware,1,61-70,57210
Delaware,1,71+,48256
Delaware,1,Total,465097
Delaware,2,10-Jan,60583
Delaware,2,20-Nov,58608
Delaware,2,21-30,62196
Delaware,2,31-40,59828
Delaware,2,41-50,57943
Delaware,2,51-60,70942
Delaware,2,61-70,66664
Delaware,2,71+,61893
Delaware,2,Total,498657
District of Columbia,0,10-Jan,89526
District of Columbia,0,20-Nov,69699
District of Columbia,0,21-30,141336
District of Columbia,0,31-40,133985
District of Columbia,0,41-50,78776
District of Columbia,0,51-60,72986
District of Columbia,0,61-70,59719
District of Columbia,0,71+,52273
District of Columbia,0,Total,698300
District of Columbia,1,10-Jan,45367
District of Columbia,1,20-Nov,33516
District of Columbia,1,21-30,64377
District of Columbia,1,31-40,64652
District of Columbia,1,41-50,39109
District of Columbia,1,51-60,35951
District of Columbia,1,61-70,26510
District of Columbia,1,71+,20509
District of Columbia,1,Total,329991
District of Columbia,2,10-Jan,44159
District of Columbia,2,20-Nov,36183
District of Columbia,2,21-30,76959
District of Columbia,2,31-40,69333
District of Columbia,2,41-50,39667
District of Columbia,2,51-60,37035
District of Columbia,2,61-70,33209
District of Columbia,2,71+,31764
District of Columbia,2,Total,368309
Florida,0,10-Jan,2541906
Florida,0,20-Nov,2407806
Florida,0,21-30,2705890
Florida,0,31-40,2625043
Florida,0,41-50,2606982
Florida,0,51-60,2884617
Florida,0,61-70,2624534
Florida,0,71+,2834046
Florida,0,Total,21230824
Florida,1,10-Jan,1298794
Florida,1,20-Nov,1228447
Florida,1,21-30,1371257
Florida,1,31-40,1308644
Florida,1,41-50,1281317
Florida,1,51-60,1390176
Florida,1,61-70,1214192
Florida,1,71+,1262437
Florida,1,Total,10355264
Florida,2,10-Jan,1243112
Florida,2,20-Nov,1179359
Florida,2,21-30,1334633
Florida,2,31-40,1316399
Florida,2,41-50,1325665
Florida,2,51-60,1494441
Florida,2,61-70,1410342
Florida,2,71+,1571609
Florida,2,Total,10875560
Georgia,0,10-Jan,1488986
Georgia,0,20-Nov,1439572
Georgia,0,21-30,1455675
Georgia,0,31-40,1386566
Georgia,0,41-50,1381648
Georgia,0,51-60,1366903
Georgia,0,61-70,1071191
Georgia,0,71+,865604
Georgia,0,Total,10456145
Georgia,1,10-Jan,759029
Georgia,1,20-Nov,728154
Georgia,1,21-30,720899
Georgia,1,31-40,668719
Georgia,1,41-50,666659
Georgia,1,51-60,658786
Georgia,1,61-70,494538
Georgia,1,71+,364944
Georgia,1,Total,5061728
Georgia,2,10-Jan,729957
Georgia,2,20-Nov,711418
Georgia,2,21-30,734776
Georgia,2,31-40,717847
Georgia,2,41-50,714989
Georgia,2,51-60,708117
Georgia,2,61-70,576653
Georgia,2,71+,500660
Georgia,2,Total,5394417
Hawaii,0,10-Jan,191488
Hawaii,0,20-Nov,154719
Hawaii,0,21-30,173801
Hawaii,0,31-40,181057
Hawaii,0,41-50,164426
Hawaii,0,51-60,176984
Hawaii,0,61-70,169758
Hawaii,0,71+,162972
Hawaii,0,Total,1375205
Hawaii,1,10-Jan,98242
Hawaii,1,20-Nov,78867
Hawaii,1,21-30,85847
Hawaii,1,31-40,88389
Hawaii,1,41-50,81282
Hawaii,1,51-60,87520
Hawaii,1,61-70,82197
Hawaii,1,71+,70830
Hawaii,1,Total,673174
Hawaii,2,10-Jan,93246
Hawaii,2,20-Nov,75852
Hawaii,2,21-30,87954
Hawaii,2,31-40,92668
Hawaii,2,41-50,83144
Hawaii,2,51-60,89464
Hawaii,2,61-70,87561
Hawaii,2,71+,92142
Hawaii,2,Total,702031
Idaho,0,10-Jan,265592
Idaho,0,20-Nov,250874
Idaho,0,21-30,232713
Idaho,0,31-40,226082
Idaho,0,41-50,203153
Idaho,0,51-60,209434
Idaho,0,61-70,196540
Idaho,0,71+,166282
Idaho,0,Total,1750670
Idaho,1,10-Jan,135274
Idaho,1,20-Nov,128158
Idaho,1,21-30,119914
Idaho,1,31-40,114087
Idaho,1,41-50,102677
